[info]: OpenGL backend
[info]: Vendor: AMD
[info]: Renderer: AMD Radeon RX 6500 (navi24, LLVM 15.0.7, DRM 3.42, 5.15.0-117-generic)
[info]: loading scene data/parking/zma_carpark_b2.obj (306 meshes, 213420 triangles)
[info]: loading scene data/Sponza/Sponza.fbx (381 meshes, 262267 triangles)
[info]: loading scene data/cube.fbx (1 meshes, 12 triangles)
[info]: loading scene data/sphere.fbx (1 meshes, 3072 triangles)
[info]: loading scene data/Ybot.fbx (2 meshes, 55320 triangles)
[info]: loaded sound data/music.wav, 4876304 samples
[info]: loaded sound data/jump.wav, 72000 samples
[debug]: profiler block update_sound: (80791 cycles, 1 calls)
[debug]: profiler block move_entity: (5535836 cycles, 1 calls)
[debug]: profiler block update game: (5573869 cycles, 1 calls)
[debug]: profiler block update_sound: (68480 cycles, 1 calls)
[debug]: profiler block move_entity: (5690296 cycles, 1 calls)
[debug]: profiler block update game: (5711452 cycles, 1 calls)
[debug]: profiler block update_sound: (68432 cycles, 1 calls)
[debug]: profiler block move_entity: (5796083 cycles, 1 calls)
[debug]: profiler block update game: (5812223 cycles, 1 calls)
[debug]: profiler block update_sound: (70695 cycles, 1 calls)
[debug]: profiler block move_entity: (5633469 cycles, 1 calls)
[debug]: profiler block update game: (5649388 cycles, 1 calls)
[debug]: profiler block update_sound: (63796 cycles, 1 calls)
[debug]: profiler block move_entity: (5823716 cycles, 1 calls)
[debug]: profiler block update game: (5840835 cycles, 1 calls)
[debug]: profiler block update_sound: (61985 cycles, 1 calls)
[debug]: profiler block move_entity: (5635492 cycles, 1 calls)
[debug]: profiler block update game: (5648315 cycles, 1 calls)
[debug]: profiler block update_sound: (63087 cycles, 1 calls)
[debug]: profiler block move_entity: (5567907 cycles, 1 calls)
[debug]: profiler block update game: (5581638 cycles, 1 calls)
[debug]: profiler block update_sound: (64344 cycles, 1 calls)
[debug]: profiler block move_entity: (5570572 cycles, 1 calls)
[debug]: profiler block update game: (5592172 cycles, 1 calls)
[debug]: profiler block update_sound: (65900 cycles, 1 calls)
[debug]: profiler block move_entity: (5378628 cycles, 1 calls)
[debug]: profiler block update game: (5390886 cycles, 1 calls)
[debug]: profiler block update_sound: (64240 cycles, 1 calls)
[debug]: profiler block move_entity: (5454105 cycles, 1 calls)
[debug]: profiler block update game: (5474052 cycles, 1 calls)
[debug]: profiler block update_sound: (64784 cycles, 1 calls)
[debug]: profiler block move_entity: (5430696 cycles, 1 calls)
[debug]: profiler block update game: (5443118 cycles, 1 calls)
[debug]: profiler block update_sound: (67532 cycles, 1 calls)
[debug]: profiler block move_entity: (5537486 cycles, 1 calls)
[debug]: profiler block update game: (5551665 cycles, 1 calls)
[debug]: profiler block update_sound: (74667 cycles, 1 calls)
[debug]: profiler block move_entity: (5480479 cycles, 1 calls)
[debug]: profiler block update game: (5492891 cycles, 1 calls)
[debug]: profiler block update_sound: (66266 cycles, 1 calls)
[debug]: profiler block move_entity: (5528480 cycles, 1 calls)
[debug]: profiler block update game: (5539152 cycles, 1 calls)
[debug]: profiler block update_sound: (63628 cycles, 1 calls)
[debug]: profiler block move_entity: (5607354 cycles, 1 calls)
[debug]: profiler block update game: (5638226 cycles, 1 calls)
[debug]: profiler block update_sound: (67265 cycles, 1 calls)
[debug]: profiler block move_entity: (5703707 cycles, 1 calls)
[debug]: profiler block update game: (5716357 cycles, 1 calls)
[debug]: profiler block update_sound: (65725 cycles, 1 calls)
[debug]: profiler block move_entity: (5628871 cycles, 1 calls)
[debug]: profiler block update game: (5642334 cycles, 1 calls)
[debug]: profiler block update_sound: (67921 cycles, 1 calls)
